,x,y,w,h,conf,r
0,28982.2,27194.6,25.1,24.1,0.906,24.6
1,28981.6,27619.4,25.4,24.4,0.9,24.9
2,28869.8,26065.9,25.1,24.2,0.896,24.65
3,28856.0,27020.3,21.4,20.8,0.896,21.1
4,27255.5,24933.5,24.6,25.1,0.891,24.85
5,28933.5,27913.5,104.4,111.6,0.89,108.0
6,21797.5,21490.7,154.9,155.9,0.887,155.4
7,28043.7,24469.0,22.9,22.5,0.886,22.7
8,25883.9,24026.4,33.2,31.4,0.885,32.3
9,29854.7,27383.5,28.9,29.1,0.884,29.0
10,27209.9,24922.5,46.6,45.5,0.882,46.05
11,20846.1,20806.6,30.8,30.5,0.882,30.65
12,25144.4,24129.8,41.8,40.5,0.881,41.15
13,20774.2,20567.5,56.1,54.0,0.881,55.05
14,15545.9,15808.7,13.0,12.6,0.88,12.8
15,23272.1,21343.0,24.3,23.4,0.88,23.85
16,20528.9,20432.3,22.1,21.8,0.88,21.950000000000003
17,28828.5,25819.6,24.3,24.1,0.88,24.200000000000003
18,25300.8,24722.0,34.3,32.5,0.88,33.4
19,26221.4,24290.0,40.5,37.5,0.879,39.0
20,27174.8,26318.0,23.4,22.6,0.879,23.0
21,29220.7,27061.2,65.5,62.1,0.879,63.8
22,26539.7,24311.4,36.5,34.8,0.878,35.65
23,28143.4,26519.5,25.8,24.5,0.878,25.15
24,22538.1,21832.5,42.1,39.8,0.877,40.95
25,28171.7,25897.0,13.9,13.4,0.876,13.65
26,26654.4,24162.0,25.8,26.1,0.876,25.950000000000003
27,23103.4,20433.9,29.0,28.2,0.875,28.6
28,29282.2,26660.7,68.9,72.4,0.875,70.65
29,29091.5,27471.3,13.2,12.5,0.875,12.85
30,25141.8,24440.0,22.0,21.8,0.875,21.9
31,27978.0,27284.7,12.1,11.8,0.875,11.95
32,26380.0,24996.1,27.7,26.8,0.874,27.25
33,22465.3,21665.6,70.0,67.6,0.874,68.8
34,27195.1,23667.4,38.1,38.2,0.874,38.150000000000006
35,27122.4,26405.6,26.9,25.8,0.873,26.35
36,27580.6,24207.8,22.7,22.7,0.873,22.7
37,29017.5,27715.6,63.7,58.7,0.873,61.2
38,29264.2,25586.1,37.1,37.6,0.872,37.35
39,28641.3,25856.1,13.1,12.3,0.872,12.7
40,27380.1,26733.3,24.1,24.1,0.872,24.1
