,x,y,w,h,conf,r
0,703.2,3044.4,195.2,192.0,0.924,193.6
1,584.8,4495.9,85.2,80.7,0.923,82.95
2,1576.5,3124.6,222.0,224.8,0.914,223.4
3,1929.5,3783.8,114.2,108.8,0.913,111.5
4,1188.0,4617.1,243.9,233.4,0.912,238.65
5,839.3,2929.2,156.2,161.4,0.912,158.8
6,594.4,6060.7,206.5,214.0,0.911,210.25
7,1680.9,777.8,365.1,327.6,0.907,346.35
8,1806.8,7180.0,23.4,21.7,0.903,22.549999999999997
9,622.5,1127.6,245.0,255.2,0.9,250.1
10,2013.3,798.4,49.8,50.7,0.899,50.25
11,1343.2,3876.8,61.1,61.2,0.898,61.150000000000006
12,1454.4,1401.3,86.4,85.5,0.898,85.95
13,1916.1,5809.7,67.0,65.8,0.893,66.4
14,802.1,7009.3,76.0,81.8,0.89,78.9
15,2095.2,6894.4,23.2,22.2,0.889,22.7
16,1666.2,14011.3,53.0,50.8,0.889,51.9
17,655.7,2635.8,138.3,142.5,0.888,140.4
18,1282.2,1126.0,236.1,251.1,0.888,243.6
19,2718.4,8448.6,40.0,40.3,0.888,40.15
20,2604.1,7479.2,33.1,31.8,0.887,32.45
21,2518.4,8480.5,25.2,23.6,0.887,24.4
22,1792.8,180.8,23.1,22.8,0.886,22.950000000000003
23,1044.0,1887.1,199.8,179.3,0.885,189.55
24,2027.6,1243.6,23.8,24.0,0.885,23.9
25,1331.6,6035.8,50.0,49.1,0.885,49.55
26,972.8,884.9,85.9,83.4,0.883,84.65
27,541.7,6431.5,28.0,28.1,0.883,28.05
28,502.6,4043.5,17.1,15.4,0.881,16.25
29,2027.7,266.7,63.0,67.0,0.881,65.0
30,507.9,4614.9,45.0,45.1,0.88,45.05
31,1223.0,1357.0,23.8,23.9,0.88,23.85
32,166.2,1373.2,47.8,46.8,0.88,47.3
33,2761.8,14157.8,51.8,51.1,0.88,51.45
34,1344.9,2250.5,49.2,49.1,0.88,49.150000000000006
35,337.9,1812.5,61.0,61.7,0.879,61.35
36,1700.7,4059.6,245.8,237.5,0.878,241.65
37,953.1,488.1,14.0,13.5,0.878,13.75
38,1143.7,610.8,67.0,66.1,0.878,66.55
39,1611.5,5206.0,45.6,46.1,0.878,45.85
40,1776.8,7550.7,84.4,89.7,0.878,87.05000000000001
41,1167.2,961.6,47.5,46.9,0.877,47.2
42,2023.1,7124.9,55.1,56.3,0.877,55.7
43,1462.4,7316.5,46.9,46.5,0.877,46.7
44,1715.1,512.5,42.7,45.6,0.877,44.150000000000006
45,1271.5,3117.8,50.6,49.8,0.876,50.2
46,1010.3,1774.4,46.6,48.6,0.876,47.6
47,1886.3,14263.4,65.1,59.1,0.876,62.099999999999994
48,2146.4,202.3,27.0,27.0,0.876,27.0
49,2225.5,2881.5,27.1,25.9,0.876,26.5
50,2263.9,1652.3,54.1,50.0,0.875,52.05
51,924.6,6911.2,74.3,69.7,0.875,72.0
