,x,y,w,h,conf,r
0,28971.7,28643.5,145.4,139.2,0.908,142.3
1,6181.6,4811.9,74.5,68.3,0.904,71.4
2,29423.0,29130.5,71.0,69.1,0.898,70.05
3,29041.7,29618.4,25.1,24.2,0.893,24.65
4,26639.8,24871.1,67.9,71.5,0.889,69.7
5,26156.8,25767.3,24.5,22.9,0.889,23.7
6,25996.6,24358.9,59.2,56.9,0.887,58.05
7,5163.1,5281.3,24.8,24.2,0.882,24.5
8,29281.9,29354.8,22.4,21.6,0.88,22.0
9,28741.0,28089.0,52.5,52.5,0.877,52.5
10,1622.3,2200.8,46.0,46.6,0.877,46.3
11,1729.0,1658.3,19.5,19.2,0.873,19.35
12,26693.3,25682.3,43.5,43.6,0.871,43.55
13,28980.6,30000.2,40.4,40.2,0.87,40.3
14,3096.2,2916.8,56.9,59.4,0.87,58.15
15,28638.0,28902.1,51.4,50.7,0.87,51.05
16,2568.2,1513.3,82.4,85.8,0.87,84.1
17,2220.6,2613.8,57.0,56.2,0.869,56.6
18,29015.0,29457.7,18.8,17.9,0.869,18.35
19,5417.0,4531.8,45.2,43.4,0.869,44.3
20,5292.0,4757.4,199.6,184.7,0.868,192.14999999999998
21,25595.3,25953.3,43.2,42.0,0.868,42.6
22,28743.2,29043.5,41.1,40.7,0.867,40.900000000000006
23,26477.4,25030.1,55.4,57.7,0.867,56.55
24,1882.5,1021.9,57.8,43.8,0.867,50.8
25,26636.7,25009.0,47.9,45.4,0.867,46.65
26,28007.6,28360.5,41.2,41.6,0.867,41.400000000000006
27,5039.1,5479.6,51.2,48.4,0.866,49.8
28,4541.4,5778.7,39.2,38.5,0.866,38.85
29,26079.0,25504.9,19.2,18.8,0.865,19.0
30,3674.1,2612.7,43.5,48.4,0.865,45.95
31,25665.7,25335.2,28.7,28.3,0.865,28.5
32,28373.0,28120.7,45.7,43.3,0.865,44.5
33,27651.5,28741.0,50.4,48.2,0.864,49.3
34,28547.4,27912.7,39.7,38.4,0.864,39.05
35,26089.1,24629.3,48.4,47.9,0.864,48.15
36,18994.4,19589.2,31.8,30.7,0.864,31.25
37,26877.7,25632.4,51.2,50.3,0.864,50.75
38,1779.9,2219.0,20.5,21.3,0.864,20.9
39,4815.2,5675.3,24.5,24.6,0.864,24.55
40,5116.3,5307.2,19.6,19.1,0.863,19.35
41,25577.9,25019.2,25.5,25.1,0.862,25.3
42,29961.8,28716.6,52.3,48.8,0.862,50.55
43,26255.8,24844.2,20.5,19.8,0.862,20.15
44,27804.1,28020.6,24.4,25.4,0.862,24.9
45,4608.3,5838.8,132.2,120.8,0.862,126.5
46,28288.6,26794.4,51.4,50.5,0.861,50.95
47,28447.9,28403.5,37.7,37.6,0.86,37.650000000000006
48,25824.6,25485.9,28.7,28.2,0.859,28.45
49,29026.2,29647.7,29.8,29.1,0.859,29.450000000000003
50,28314.6,28596.1,11.4,11.0,0.859,11.2
51,19261.1,18536.5,38.6,38.2,0.858,38.400000000000006
52,2191.4,2382.6,24.9,24.4,0.858,24.65
53,5344.6,5029.1,35.8,34.7,0.858,35.25
54,28098.9,29187.4,17.1,16.6,0.858,16.85
55,28153.8,27089.3,15.0,14.8,0.857,14.9
56,27237.5,25862.8,33.3,32.3,0.857,32.8
57,28946.0,28321.9,36.1,35.8,0.856,35.95
58,29037.8,29147.7,32.2,33.0,0.855,32.6
59,27477.6,28739.8,19.4,17.7,0.855,18.549999999999997
60,2636.8,2041.8,35.3,34.7,0.855,35.0
61,28344.0,27502.4,29.9,29.6,0.854,29.75
62,985.2,2144.3,34.7,34.8,0.854,34.75
63,2398.5,2632.3,15.8,15.1,0.854,15.45
64,5054.5,3868.7,23.3,23.0,0.854,23.15
65,28157.5,27158.8,87.1,83.3,0.854,85.19999999999999
66,28850.2,27070.5,31.4,30.9,0.854,31.15
67,26542.0,25261.3,21.9,21.4,0.854,21.65
