,x,y,w,h,conf,r
0,1306.0,257.5,217.5,225.8,0.928,221.65
1,923.2,1732.9,225.3,224.3,0.922,224.8
2,1656.5,916.8,109.1,108.2,0.921,108.65
3,532.4,4142.7,77.0,80.5,0.905,78.75
4,496.9,3983.0,21.3,21.7,0.902,21.5
5,1061.7,3169.7,50.7,48.5,0.895,49.6
6,984.9,3576.0,45.2,42.8,0.894,44.0
7,1856.2,4592.4,28.4,28.0,0.894,28.2
8,2046.8,278.2,19.2,19.1,0.892,19.15
9,1646.5,2943.0,67.2,65.9,0.89,66.55000000000001
10,2117.1,11289.3,208.6,214.5,0.889,211.55
11,1753.4,4257.8,55.3,56.1,0.886,55.7
12,444.5,4565.9,20.1,19.4,0.886,19.75
13,1506.5,4683.4,80.5,81.0,0.886,80.75
14,1308.6,791.9,29.3,28.5,0.885,28.9
15,2566.3,4695.3,34.7,39.1,0.884,36.900000000000006
16,1196.5,3581.0,23.5,22.8,0.883,23.15
17,1398.9,1215.3,202.2,292.3,0.882,247.25
18,1939.7,5518.7,21.9,22.4,0.882,22.15
19,2105.3,893.6,27.4,27.0,0.881,27.2
20,313.3,1629.0,82.7,79.6,0.881,81.15
21,2568.8,11290.7,32.1,31.6,0.881,31.85
22,1079.9,3829.0,20.8,19.9,0.881,20.35
23,927.3,4102.8,12.6,12.0,0.881,12.3
24,669.4,5787.0,26.4,27.1,0.881,26.75
25,1396.7,11144.1,52.5,50.2,0.881,51.35
26,2412.9,3135.0,48.3,50.8,0.88,49.55
27,2399.1,4771.4,75.6,76.0,0.88,75.8
28,654.9,4044.1,68.8,67.8,0.879,68.3
29,1697.1,11556.8,22.3,23.2,0.879,22.75
30,1001.3,250.9,49.4,49.9,0.878,49.65
31,1072.6,1011.2,60.4,62.8,0.878,61.599999999999994
32,2278.7,1423.1,44.8,47.7,0.878,46.25
33,1077.6,428.9,22.0,20.5,0.877,21.25
34,1552.8,11321.3,12.7,12.2,0.877,12.45
35,2044.8,55.2,16.7,16.8,0.877,16.75
36,332.2,2579.3,27.9,26.6,0.876,27.25
37,2204.7,711.2,49.9,50.1,0.874,50.0
38,181.5,1956.8,31.3,31.9,0.874,31.6
39,693.1,689.1,33.1,33.0,0.874,33.05
40,1536.7,4417.7,27.2,27.5,0.873,27.35
41,589.5,723.3,40.4,42.4,0.873,41.4
42,1269.5,2341.9,22.0,20.5,0.873,21.25
43,1341.5,2338.8,45.5,46.8,0.873,46.15
44,2449.3,5578.2,43.4,42.3,0.872,42.849999999999994
45,553.1,3969.8,19.7,20.1,0.872,19.9
46,1656.4,4951.2,42.5,43.1,0.871,42.8
47,1192.3,4449.1,46.3,45.4,0.87,45.849999999999994
48,237.5,1748.4,44.6,45.0,0.869,44.8
49,2355.9,4082.3,21.8,21.4,0.869,21.6
50,1470.2,4886.8,28.0,27.6,0.869,27.8
51,2269.9,1105.5,18.3,17.7,0.869,18.0
52,2328.2,2831.1,39.9,39.5,0.868,39.7
53,1155.4,5874.9,40.9,40.3,0.868,40.599999999999994
54,2352.7,4566.1,13.6,13.1,0.868,13.35
55,2262.9,4508.1,18.0,16.2,0.868,17.1
56,1847.1,4528.6,47.5,49.3,0.868,48.4
57,390.4,1081.7,87.0,87.2,0.867,87.1
58,1467.3,5095.6,49.8,49.7,0.867,49.75
59,524.0,2842.0,65.0,66.8,0.867,65.9
60,2058.7,5760.6,14.5,14.6,0.866,14.55
61,2189.4,1289.9,12.4,11.7,0.865,12.05
62,1870.5,11446.5,14.8,13.8,0.865,14.3
63,2051.8,2575.2,67.6,65.0,0.865,66.3
64,2169.7,320.9,17.9,17.6,0.865,17.75
65,2334.1,4612.5,32.6,32.7,0.864,32.650000000000006
66,1829.7,11436.8,24.7,25.6,0.864,25.15
67,1502.2,4864.4,35.6,35.6,0.863,35.6
68,1862.5,11173.7,18.1,18.0,0.863,18.05
69,2442.6,4114.3,18.8,17.6,0.862,18.200000000000003
70,2239.5,4564.0,13.7,13.6,0.862,13.649999999999999
71,963.8,5915.7,31.8,31.5,0.862,31.65
72,725.0,1023.1,32.4,32.4,0.862,32.4
73,2302.0,11307.3,180.2,189.9,0.862,185.05
74,1154.3,10987.7,49.4,46.5,0.862,47.95
75,992.3,3163.6,38.5,37.1,0.861,37.8
76,2491.8,11290.7,52.6,51.7,0.861,52.150000000000006
77,1568.8,5704.0,19.8,19.0,0.86,19.4
78,1171.0,1358.6,267.2,265.7,0.859,266.45
79,424.9,300.4,16.6,15.6,0.859,16.1
80,1918.1,3399.6,36.9,38.5,0.859,37.7
81,1647.6,4560.4,12.8,12.1,0.858,12.45
82,2164.0,4447.7,32.5,32.5,0.858,32.5
83,1018.0,1456.0,28.7,27.9,0.858,28.299999999999997
84,2312.7,2878.7,28.6,28.8,0.857,28.700000000000003
85,1699.5,5139.1,48.5,48.4,0.857,48.45
86,2099.0,4340.7,37.8,38.1,0.857,37.95
87,1783.4,3317.5,47.9,45.8,0.857,46.849999999999994
88,1968.7,1232.0,44.0,42.6,0.857,43.3
89,955.6,3392.4,32.4,32.7,0.857,32.55
90,1912.6,5666.5,23.5,21.7,0.856,22.6
91,451.9,2581.5,19.6,19.2,0.856,19.4
92,1469.4,2559.6,59.6,64.6,0.856,62.099999999999994
93,2240.4,4292.8,39.1,42.5,0.856,40.8
94,1814.2,5736.7,25.0,23.7,0.856,24.35
95,1122.7,3420.6,26.5,25.2,0.856,25.85
96,347.6,3187.9,164.4,210.1,0.856,187.25
97,1106.2,596.4,29.1,29.0,0.856,29.05
98,2128.3,5431.0,26.1,25.4,0.856,25.75
99,1970.5,816.1,31.8,32.9,0.855,32.35
100,1794.3,11207.9,23.6,21.7,0.855,22.65
101,1463.8,4683.4,14.2,13.7,0.855,13.95
102,2165.7,4340.4,14.8,14.1,0.855,14.45
103,2349.4,4257.6,17.5,16.2,0.855,16.85
104,2152.8,202.6,13.2,12.9,0.855,13.05
105,2104.6,1332.5,16.0,16.1,0.855,16.05
106,387.2,3886.4,18.2,18.1,0.854,18.15
107,1227.3,806.7,30.8,29.2,0.854,30.0
108,2248.2,5613.1,23.5,22.6,0.854,23.05
109,1480.4,569.5,19.0,18.6,0.854,18.8
110,237.6,169.3,19.5,17.0,0.854,18.25
111,1381.7,4834.1,20.5,20.4,0.853,20.45
112,605.9,3969.3,19.2,18.4,0.853,18.799999999999997
113,325.8,3480.6,16.7,16.0,0.853,16.35
114,752.7,4209.3,12.9,12.0,0.852,12.45
115,1993.8,241.2,22.9,22.4,0.852,22.65
116,2616.3,11437.6,31.9,30.8,0.852,31.35
117,1727.4,220.8,16.9,15.5,0.852,16.2
118,1580.7,5385.4,26.2,26.2,0.852,26.2
119,2532.0,4763.0,16.1,15.8,0.852,15.950000000000001
120,1825.3,4027.9,24.7,22.6,0.851,23.65
121,1672.2,3012.5,24.6,23.8,0.851,24.200000000000003
122,203.3,821.5,20.5,20.4,0.851,20.45
123,676.2,3351.5,35.1,36.7,0.851,35.900000000000006
124,218.1,2146.6,20.5,20.2,0.851,20.35
125,454.8,323.2,31.8,32.0,0.851,31.9
126,860.0,2283.2,28.5,28.1,0.851,28.3
127,1042.8,3627.7,15.7,14.4,0.85,15.05
128,981.1,4008.9,19.8,17.7,0.85,18.75
129,239.8,2477.2,37.8,36.9,0.85,37.349999999999994
130,1960.8,4792.2,17.4,17.1,0.85,17.25
131,1536.1,358.8,185.0,174.0,0.85,179.5
132,1647.4,3485.9,33.4,34.3,0.85,33.849999999999994
133,1164.5,11029.2,18.8,18.4,0.85,18.6
134,1353.1,466.8,34.4,35.3,0.85,34.849999999999994
135,489.8,370.0,13.9,13.4,0.849,13.65
136,252.0,1347.0,33.1,34.4,0.849,33.75
137,683.9,3685.6,13.8,13.9,0.849,13.850000000000001
138,866.4,4824.7,15.2,15.1,0.849,15.149999999999999
139,1777.1,1001.5,112.7,106.4,0.849,109.55000000000001
140,521.9,5459.0,10.9,10.4,0.849,10.65
141,867.7,4374.2,24.9,24.0,0.849,24.45
142,240.2,1306.0,18.6,18.2,0.849,18.4
143,1276.3,4251.0,17.5,16.9,0.849,17.2
144,1137.4,1354.8,23.4,22.0,0.849,22.7
145,2372.6,3574.5,17.1,16.8,0.849,16.950000000000003
146,1252.0,4755.9,17.2,17.2,0.849,17.2
147,1479.1,3477.7,11.4,10.8,0.849,11.100000000000001
148,2145.4,3833.2,29.1,28.6,0.849,28.85
149,536.0,4498.5,16.3,16.3,0.848,16.3
150,880.5,6018.8,37.7,36.2,0.848,36.95
151,2100.4,439.7,22.0,23.2,0.848,22.6
152,1846.7,3525.8,32.3,31.9,0.848,32.099999999999994
153,2302.8,4537.6,12.0,11.9,0.848,11.95
154,2290.9,4563.4,18.2,18.0,0.848,18.1
155,965.0,4038.9,16.1,15.8,0.848,15.950000000000001
156,1808.2,454.4,29.8,29.2,0.848,29.5
157,151.4,646.4,19.1,18.8,0.848,18.950000000000003
158,1920.4,1068.1,16.5,16.1,0.848,16.3
159,2091.7,3069.6,31.5,31.4,0.848,31.45
160,1423.2,5234.7,27.8,27.0,0.848,27.4
161,1774.1,1055.6,22.4,21.3,0.847,21.85
162,404.1,3672.8,16.7,16.7,0.847,16.7
163,1468.4,4057.0,15.8,15.1,0.847,15.45
164,533.6,3160.6,50.5,52.5,0.847,51.5
165,1247.3,3854.7,25.9,26.1,0.847,26.0
166,1885.9,2197.7,13.3,13.0,0.847,13.15
167,2424.3,4697.9,26.5,26.4,0.847,26.45
168,2080.3,5596.8,19.2,19.7,0.847,19.45
169,1370.0,594.6,24.7,24.1,0.847,24.4
170,1699.5,4343.7,17.0,16.5,0.847,16.75
171,1649.5,11080.9,17.4,16.0,0.847,16.7
172,1717.5,4183.7,29.0,28.7,0.846,28.85
173,1185.1,999.6,23.2,23.4,0.846,23.299999999999997
174,2316.2,3343.4,23.7,23.2,0.846,23.45
175,2453.3,4465.3,12.4,11.4,0.846,11.9
176,434.2,187.6,184.6,170.4,0.846,177.5
177,154.7,1385.7,68.6,70.8,0.846,69.69999999999999
178,1666.7,11087.6,19.2,19.5,0.845,19.35
179,1522.9,1494.7,12.3,12.0,0.845,12.15
180,2393.4,4369.3,22.5,21.6,0.845,22.05
181,1351.8,5852.6,43.2,43.1,0.845,43.150000000000006
182,660.2,832.7,15.4,15.1,0.845,15.25
183,2050.6,5548.2,16.7,16.8,0.845,16.75
184,1617.4,4576.5,18.5,18.3,0.844,18.4
185,1446.3,5799.3,12.3,12.2,0.844,12.25
186,548.6,6100.1,15.7,15.4,0.844,15.55
187,1650.4,11293.3,19.2,18.8,0.844,19.0
188,2181.2,3924.2,25.4,26.6,0.844,26.0
189,1186.2,421.4,16.1,15.1,0.844,15.600000000000001
190,894.3,5972.2,27.7,27.4,0.844,27.549999999999997
191,2216.6,4444.4,20.2,19.2,0.844,19.7
192,777.4,2516.3,30.7,30.6,0.844,30.65
193,2069.8,708.6,17.4,17.2,0.843,17.299999999999997
194,1599.3,3165.5,45.0,44.8,0.843,44.9
195,499.1,3371.1,49.4,47.4,0.843,48.4
196,2188.1,2382.4,17.1,16.7,0.843,16.9
197,2007.6,2220.1,19.9,19.5,0.843,19.7
198,2478.3,5616.4,24.0,23.9,0.843,23.95
199,1031.6,3962.5,20.5,20.0,0.843,20.25
200,1903.4,225.7,16.3,16.6,0.843,16.450000000000003
201,1736.5,3656.4,27.4,26.6,0.843,27.0
202,381.7,4317.2,38.6,42.4,0.842,40.5
203,1718.5,4009.3,18.7,18.6,0.842,18.65
204,1360.8,4491.6,14.0,13.5,0.842,13.75
205,1615.5,11397.8,63.1,58.5,0.842,60.8
206,920.6,4277.3,20.9,21.3,0.842,21.1
207,1442.5,916.7,130.5,122.0,0.842,126.25
208,2106.6,4449.5,25.8,25.8,0.842,25.8
209,2269.9,1027.6,12.1,12.3,0.842,12.2
210,2342.5,2034.1,19.9,19.0,0.842,19.45
211,2177.6,4467.2,21.8,21.0,0.842,21.4
212,1536.7,118.2,27.1,27.2,0.842,27.15
213,1129.4,3888.8,24.6,24.3,0.842,24.450000000000003
